# sector size     filename
00000B4F 00008200 \BG\SC2FC31.TIM
00000B60 00008300 \BG\SC2FC32.TIM
00000B71 00004100 \BG\SC2FC3H.TIM
00000B7A 00008200 \BG\SC2FC41.TIM
00000B8B 00008300 \BG\SC2FC42.TIM
00000B9C 00004100 \BG\SC2FC4H.TIM
00000BA5 00008200 \BG\SC2FEX11.TIM
00000BB6 00008300 \BG\SC2FEX12.TIM
00000BC7 00008200 \BG\SC2FEX21.TIM
00000BD8 00008200 \BG\SC2FEX22.TIM
00000BE9 00004100 \BG\SC2FEX2H.TIM
00000BF2 00008200 \BG\SC2FL1.TIM
00000C03 00008200 \BG\SC2FL2.TIM
00000C14 00008200 \BG\SC2FP1.TIM
00000C25 00008200 \BG\SC2FP2.TIM
00000C36 00004100 \BG\SC2FPH.TIM
00000C3F 00008300 \BG\SC2FT1.TIM
00000C50 00008200 \BG\SC2FT2.TIM
00000C61 00008300 \BG\SC2FTC1.TIM
00000C72 00008100 \BG\SC2FTC2.TIM
00000C83 00004100 \BG\SC2FTH.TIM
00000C8C 00008200 \BG\SC2FWM1.TIM
00000C9D 00008200 \BG\SC2FWM2.TIM
00000CAE 00008200 \BG\SC2FWW1.TIM
00000CBF 00008100 \BG\SC2FWW2.TIM
00000CD0 00008200 \BG\SC3FT1.TIM
00000CE1 00008100 \BG\SC3FT2.TIM
00000CF2 00004100 \BG\SC3FTH.TIM
00000CFB 00008100 \BG\SCBBXF.TIM
00000D0C 00008200 \BG\SCBFB1.TIM
00000D1D 00008200 \BG\SCBFB2.TIM
00000D2E 00004100 \BG\SCBFBH.TIM
00000D37 00005200 \BG\SCFC00.IPD
00000D42 00005500 \BG\SCFC01.IPD
00000D4D 0000A200 \BG\SCFC02.IPD
00000D62 0000A900 \BG\SCFC03.IPD
00000D78 00002700 \BG\SCFCFE.IPD
00000D7D 00007300 \BG\SCFD00.IPD
00000D8C 0000CD00 \BG\SCFD01.IPD
00000DA6 00009600 \BG\SCFD02.IPD
00000DB9 00008100 \BG\SCFD03.IPD
00000DCA 00002700 \BG\SCFDFE.IPD
00000DCF 00005700 \BG\SCFE00.IPD
00000DDA 0000A500 \BG\SCFE01.IPD
00000DEF 00008700 \BG\SCFE02.IPD
00000E00 00008000 \BG\SCFE03.IPD
00000E10 00003D00 \BG\SCFEFE.IPD
00000E18 00002E00 \BG\SCFEFF.IPD
00000E1E 00008900 \BG\SCFF00.IPD
00000E30 0000AE00 \BG\SCFF01.IPD
00000E46 0000AF00 \BG\SCFF02.IPD
00000E5C 00006C00 \BG\SCFF04.IPD
00000E6A 0000C900 \BG\SCFFFE.IPD
00000E84 00007800 \BG\SCFFFF.IPD
00000E93 0000A000 \BG\SPR_GLB.PLM
00000EA7 00009A00 \BG\SPU_GLB.PLM
00000EBB 0000B700 \BG\SU0000.IPD
00000ED2 0000C900 \BG\SU0001.IPD
00000EEC 00004B00 \BG\SU0002.IPD
