# sector size     filename
0000091D 00006D00 \BG\SC0304.IPD
0000092B 00008100 \BG\SC1FL1.TIM
0000093C 00008100 \BG\SC1FL2.TIM
0000094D 00004100 \BG\SC1FLH.TIM
00000956 00008200 \BG\SC1FSE1.TIM
00000967 00008200 \BG\SC1FSE2.TIM
00000978 00004100 \BG\SC1FSEH.TIM
00000981 00008200 \BG\SC1FTC1.TIM
00000992 00008200 \BG\SC1FTC2.TIM
000009A3 00004200 \BG\SC1FTCH.TIM
000009AC 00008300 \BG\SC1FTD1.TIM
000009BD 00008100 \BG\SC1FTD2.TIM
000009CE 00004100 \BG\SC1FTDH.TIM
000009D7 00008100 \BG\SC1FTE1.TIM
000009E8 00008200 \BG\SC1FTE2.TIM
000009F9 00008100 \BG\SC1FURA1.TIM
00000A0A 00008100 \BG\SC1FURA2.TIM
00000A1B 00008200 \BG\SC1FZ1.TIM
00000A2C 00008200 \BG\SC1FZ2.TIM
00000A3D 00004200 \BG\SC1FZH.TIM
00000A46 00008200 \BG\SC2EX22F.TIM
00000A57 00008200 \BG\SC2EX2F.TIM
00000A68 00008200 \BG\SC2FB11.TIM
00000A79 00008300 \BG\SC2FB12.TIM
00000A8A 00008200 \BG\SC2FB21.TIM
00000A9B 00008300 \BG\SC2FB22.TIM
00000AAC 00008200 \BG\SC2FC11.TIM
00000ABD 00008300 \BG\SC2FC12.TIM
00000ACE 00004100 \BG\SC2FC1H.TIM
00000AD7 00008200 \BG\SC2FC21.TIM
00000AE8 00008300 \BG\SC2FC22.TIM
00000AF9 00004100 \BG\SC2FC2H.TIM
00000B02 00008200 \BG\SC2FC31.TIM
00000B13 00008300 \BG\SC2FC32.TIM
00000B24 00004100 \BG\SC2FC3H.TIM
00000B2D 00008200 \BG\SC2FC41.TIM
00000B3E 00008300 \BG\SC2FC42.TIM
00000B4F 00004100 \BG\SC2FC4H.TIM
00000B58 00008200 \BG\SC2FEX11.TIM
00000B69 00008300 \BG\SC2FEX12.TIM
00000B7A 00008200 \BG\SC2FEX21.TIM
00000B8B 00008200 \BG\SC2FEX22.TIM
00000B9C 00004100 \BG\SC2FEX2H.TIM
00000BA5 00008200 \BG\SC2FL1.TIM
00000BB6 00008200 \BG\SC2FL2.TIM
00000BC7 00008200 \BG\SC2FP1.TIM
00000BD8 00008200 \BG\SC2FP2.TIM
00000BE9 00004100 \BG\SC2FPH.TIM
00000BF2 00008300 \BG\SC2FT1.TIM
00000C03 00008200 \BG\SC2FT2.TIM
00000C14 00008300 \BG\SC2FTC1.TIM
00000C25 00008100 \BG\SC2FTC2.TIM
00000C36 00004100 \BG\SC2FTH.TIM
00000C3F 00008200 \BG\SC2FWM1.TIM
00000C50 00008200 \BG\SC2FWM2.TIM
00000C61 00008200 \BG\SC2FWW1.TIM
00000C72 00008100 \BG\SC2FWW2.TIM
00000C83 00008200 \BG\SC3FT1.TIM
00000C94 00008100 \BG\SC3FT2.TIM
00000CA5 00004100 \BG\SC3FTH.TIM
00000CAE 00008100 \BG\SCBBXF.TIM
00000CBF 00005200 \BG\SCFC00.IPD
00000CCA 00005500 \BG\SCFC01.IPD
00000CD5 0000A200 \BG\SCFC02.IPD
00000CEA 0000A900 \BG\SCFC03.IPD
00000D00 00002700 \BG\SCFCFE.IPD
00000D05 00007300 \BG\SCFD00.IPD
00000D14 0000CD00 \BG\SCFD01.IPD
00000D2E 00009600 \BG\SCFD02.IPD
00000D41 00008100 \BG\SCFD03.IPD
00000D52 00002700 \BG\SCFDFE.IPD
00000D57 00005700 \BG\SCFE00.IPD
00000D62 0000A500 \BG\SCFE01.IPD
00000D77 00008700 \BG\SCFE02.IPD
00000D88 00008000 \BG\SCFE03.IPD
00000D98 00003D00 \BG\SCFEFE.IPD
00000DA0 00002E00 \BG\SCFEFF.IPD
00000DA6 00008900 \BG\SCFF00.IPD
00000DB8 0000AE00 \BG\SCFF01.IPD
00000DCE 0000AF00 \BG\SCFF02.IPD
00000DE4 00006C00 \BG\SCFF04.IPD
00000DF2 0000C900 \BG\SCFFFE.IPD
00000E0C 00007800 \BG\SCFFFF.IPD
00000E1B 0000A000 \BG\SPR_GLB.PLM
00000E2F 00009A00 \BG\SPU_GLB.PLM
00000E43 0000B700 \BG\SU0000.IPD
00000E5A 00004D00 \BG\SU0001.IPD
00000E64 00005000 \BG\SU0002.IPD
00000E6E 00007700 \BG\SU0003.IPD
00000E7D 0000E200 \BG\SU00FE.IPD
00000E9A 00007D00 \BG\SU00FF.IPD
00000EAA 00009200 \BG\SU0100.IPD
00000EBD 0000A600 \BG\SU0101.IPD
00000ED2 00001F00 \BG\SU0102.IPD
00000ED6 0000D400 \BG\SU0103.IPD
00000EF1 0000E300 \BG\SU01FF.IPD
00000F0E 0000A900 \BG\SU0200.IPD
00000F24 00009700 \BG\SU0201.IPD
00000F37 00011800 \BG\SU0202.IPD
00000F5A 00006300 \BG\SU0203.IPD
00000F67 00006800 \BG\SU0300.IPD
00000F74 00005300 \BG\SU0301.IPD
00000F7F 00005100 \BG\SU0302.IPD
00000F8A 00004F00 \BG\SU0303.IPD
00000F94 00005E00 \BG\SU0304.IPD
00000FA0 00008100 \BG\SU1FL1.TIM
00000FB1 00008100 \BG\SU1FL2.TIM
00000FC2 00004100 \BG\SU1FLH.TIM
00000FCB 00008100 \BG\SU1FT1.TIM
00000FDC 00008100 \BG\SU1FT2.TIM
00000FED 00008100 \BG\SU1FTB1.TIM
00000FFE 00008100 \BG\SU1FTB2.TIM
0000100F 00008100 \BG\SU1FTD1.TIM
00001020 00008200 \BG\SU1FTD2.TIM
