# sector size     filename
00000B98 00004100 \BG\SC2FC2H.TIM
00000BA1 00008200 \BG\SC2FC31.TIM
00000BB2 00008300 \BG\SC2FC32.TIM
00000BC3 00004100 \BG\SC2FC3H.TIM
00000BCC 00008200 \BG\SC2FC41.TIM
00000BDD 00008300 \BG\SC2FC42.TIM
00000BEE 00004100 \BG\SC2FC4H.TIM
00000BF7 00008200 \BG\SC2FEX11.TIM
00000C08 00008300 \BG\SC2FEX12.TIM
00000C19 00008200 \BG\SC2FEX21.TIM
00000C2A 00008200 \BG\SC2FEX22.TIM
00000C3B 00004100 \BG\SC2FEX2H.TIM
00000C44 00008200 \BG\SC2FL1.TIM
00000C55 00008200 \BG\SC2FL2.TIM
00000C66 00008200 \BG\SC2FP1.TIM
00000C77 00008200 \BG\SC2FP2.TIM
00000C88 00004100 \BG\SC2FPH.TIM
00000C91 00008300 \BG\SC2FT1.TIM
00000CA2 00008200 \BG\SC2FT2.TIM
00000CB3 00008300 \BG\SC2FTC1.TIM
00000CC4 00008100 \BG\SC2FTC2.TIM
00000CD5 00004100 \BG\SC2FTH.TIM
00000CDE 00008200 \BG\SC2FWM1.TIM
00000CEF 00008200 \BG\SC2FWM2.TIM
00000D00 00008200 \BG\SC2FWW1.TIM
00000D11 00008100 \BG\SC2FWW2.TIM
00000D22 00008200 \BG\SC3FT1.TIM
00000D33 00008100 \BG\SC3FT2.TIM
00000D44 00004100 \BG\SC3FTH.TIM
00000D4D 00008100 \BG\SCBBXF.TIM
00000D5E 00008200 \BG\SCBFB1.TIM
00000D6F 00008200 \BG\SCBFB2.TIM
00000D80 00004100 \BG\SCBFBH.TIM
00000D89 00005200 \BG\SCFC00.IPD
00000D94 00005500 \BG\SCFC01.IPD
00000D9F 0000A200 \BG\SCFC02.IPD
00000DB4 0000A900 \BG\SCFC03.IPD
00000DCA 00002700 \BG\SCFCFE.IPD
00000DCF 00007300 \BG\SCFD00.IPD
00000DDE 0000CD00 \BG\SCFD01.IPD
00000DF8 00009600 \BG\SCFD02.IPD
00000E0B 00008100 \BG\SCFD03.IPD
00000E1C 00002700 \BG\SCFDFE.IPD
00000E21 00005700 \BG\SCFE00.IPD
00000E2C 0000A500 \BG\SCFE01.IPD
00000E41 00008700 \BG\SCFE02.IPD
00000E52 00008000 \BG\SCFE03.IPD
00000E62 00003D00 \BG\SCFEFE.IPD
00000E6A 00002E00 \BG\SCFEFF.IPD
00000E70 00008900 \BG\SCFF00.IPD
00000E82 0000AE00 \BG\SCFF01.IPD
00000E98 0000AF00 \BG\SCFF02.IPD
00000EAE 00006C00 \BG\SCFF04.IPD
00000EBC 0000C900 \BG\SCFFFE.IPD
00000ED6 00007800 \BG\SCFFFF.IPD
00000EE5 0000A000 \BG\SPR_GLB.PLM
00000EF9 00009A00 \BG\SPU_GLB.PLM
00000F0D 0000B700 \BG\SU0000.IPD
00000F24 0000C900 \BG\SU0001.IPD
00000F3E 00004B00 \BG\SU0002.IPD
00000F48 00007F00 \BG\SU0003.IPD
00000F58 0000E200 \BG\SU00FE.IPD
00000F75 00007D00 \BG\SU00FF.IPD
00000F85 00009200 \BG\SU0100.IPD
00000F98 0000A300 \BG\SU0101.IPD
00000FAD 00001F00 \BG\SU0102.IPD
00000FB1 0000D400 \BG\SU0103.IPD
00000FCC 0000A400 \BG\SU01FE.IPD
00000FE1 0000E300 \BG\SU01FF.IPD
00000FFE 0000A900 \BG\SU0200.IPD
00001014 00009700 \BG\SU0201.IPD
00001027 00011800 \BG\SU0202.IPD
0000104A 00006300 \BG\SU0203.IPD
00001057 00006800 \BG\SU0300.IPD
00001064 00005300 \BG\SU0301.IPD
0000106F 00005F00 \BG\SU0302.IPD
0000107B 00004B00 \BG\SU0303.IPD
00001085 00005E00 \BG\SU0304.IPD
00001091 00008100 \BG\SU1FL1.TIM
000010A2 00008100 \BG\SU1FL2.TIM
000010B3 00004100 \BG\SU1FLH.TIM
000010BC 00008100 \BG\SU1FT1.TIM
000010CD 00008100 \BG\SU1FT2.TIM
000010DE 00008100 \BG\SU1FTB1.TIM
000010EF 00008100 \BG\SU1FTB2.TIM
00001100 00008100 \BG\SU1FTD1.TIM
00001111 00008200 \BG\SU1FTD2.TIM
00001122 00004100 \BG\SU1FTDH.TIM
0000112B 00008100 \BG\SU1FTE1.TIM
0000113C 00008100 \BG\SU1FTE2.TIM
0000114D 00004100 \BG\SU1FTEH.TIM
00001156 00004100 \BG\SU1FTH.TIM
0000115F 00008200 \BG\SU1FWM1.TIM
00001170 00008200 \BG\SU1FWM2.TIM
00001181 00004100 \BG\SU1FWMH.TIM
0000118A 00008100 \BG\SU1FWW1.TIM
0000119B 00008100 \BG\SU1FWW2.TIM
000011AC 00004100 \BG\SU1FWWH.TIM
000011B5 00008100 \BG\SU1FZ1.TIM
000011C6 00008100 \BG\SU1FZ2.TIM
000011D7 00004100 \BG\SU1FZH.TIM
000011E0 00008100 \BG\SU2FB11.TIM
000011F1 00008100 \BG\SU2FB12.TIM
00001202 00004100 \BG\SU2FB1H.TIM
0000120B 00008100 \BG\SU2FC11.TIM
0000121C 00008100 \BG\SU2FC12.TIM
0000122D 00004100 \BG\SU2FC1H.TIM
00001236 00008100 \BG\SU2FL1.TIM
00001247 00008100 \BG\SU2FL2.TIM
00001258 00008200 \BG\SU2FTC1.TIM
00001269 00008100 \BG\SU2FTC2.TIM
0000127A 00004100 \BG\SU2FTCH.TIM
00001283 00008100 \BG\SU3F11.TIM
00001294 00008100 \BG\SU3F12.TIM
000012A5 00004100 \BG\SU3F1H.TIM
000012AE 00008100 \BG\SU3FT1.TIM
000012BF 00008100 \BG\SU3FT2.TIM
000012D0 00004100 \BG\SU3FTH.TIM
000012D9 00008100 \BG\SUBFB1.TIM
000012EA 00008100 \BG\SUBFB2.TIM
000012FB 00004100 \BG\SUBFBH.TIM
00001304 00008100 \BG\SUBFE1.TIM
00001315 00008100 \BG\SUBFE2.TIM
00001326 00004100 \BG\SUBFEH.TIM
0000132F 00008100 \BG\SUBFO1.TIM
00001340 00008200 \BG\SUBFO2.TIM
00001351 00004100 \BG\SUBFOH.TIM
0000135A 00008100 \BG\SUBFT1.TIM
0000136B 00008100 \BG\SUBFT2.TIM
0000137C 00004100 \BG\SUBFTH.TIM
00001385 00009B00 \BG\SUFC00.IPD
00001399 0000A700 \BG\SUFC01.IPD
000013AE 00005D00 \BG\SUFC02.IPD
000013BA 00005E00 \BG\SUFC03.IPD
000013C6 00006000 \BG\SUFD00.IPD
000013D2 0000A300 \BG\SUFD01.IPD
